file,label,severity,rich_verdict,quality_verdict,recommendation,smallest_face_min_dim_px,body_coverage,subject_count_estimate,face_count,face_gates,face_size_pcts,sharpness,lighting,concerns,detected_gender,detected_age_group,gender,age_group,http,error
bright-250__person-073-f-clean.jpg,bright,250,,yellow,Improving lighting and reducing overexposure would enhance the photo.,307,upper_body,1,1,pass,30,fair,poor,overexposure,f,adult,f,adult,200,
bright-250__person-081-m-clean.jpg,bright,250,,yellow,Improving the lighting will enhance the photo quality.,461,upper_body,1,1,pass,45,good,poor,overexposure,m,young,m,young,200,
cast-green__person-001-m-clean.jpg,cast,green,,green,,410,upper_body,1,1,pass,40,good,fair,,m,young,m,young,200,
cast-green__person-015-f-clean.jpg,cast,green,,yellow,,,face_only,1,0,,,,,,,,f,mature,200,
cast-green__person-030-f-clean.jpg,cast,green,,yellow,,,face_only,1,0,,,,,,,,f,mature,200,
cast-green__person-043-m-clean.jpg,cast,green,,green,,461,upper_body,1,1,pass,45,good,good,,m,young,m,young,200,
cast-green__person-060-f-clean.jpg,cast,green,,yellow,,,face_only,1,0,,,,,,,,f,adult,200,
cast-green__person-051-m-clean.jpg,cast,green,,green,,307,upper_body,1,1,pass,30,good,good,,m,mature,m,mature,200,
cast-green__person-081-m-clean.jpg,cast,green,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
cast-green__person-073-f-clean.jpg,cast,green,,green,,307,upper_body,1,1,pass,30,good,good,,f,adult,f,young,200,
cast-warm1__person-001-m-clean.jpg,cast,warm1,,green,,410,head_shoulders,1,1,pass,40,good,good,,m,young,m,young,200,
cast-warm1__person-015-f-clean.jpg,cast,warm1,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
cast-warm1__person-030-f-clean.jpg,cast,warm1,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
cast-warm1__person-043-m-clean.jpg,cast,warm1,,green,,358,upper_body,1,1,pass,35,good,good,,m,young,m,young,200,
cast-warm1__person-060-f-clean.jpg,cast,warm1,,green,,410,upper_body,1,1,pass,40,good,good,,f,adult,f,adult,200,
cast-warm1__person-051-m-clean.jpg,cast,warm1,,green,,307,upper_body,1,1,pass,30,good,good,,m,senior,m,mature,200,
cast-warm1__person-073-f-clean.jpg,cast,warm1,,green,,328,upper_body,1,1,pass,32,good,good,,f,adult,f,young,200,
cast-warm1__person-081-m-clean.jpg,cast,warm1,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
cast-warm2__person-015-f-clean.jpg,cast,warm2,,yellow,,,face_only,1,0,,,,,,,,f,mature,200,
cast-warm2__person-001-m-clean.jpg,cast,warm2,,green,,410,head_shoulders,1,1,pass,40,good,good,,m,young,m,young,200,
cast-warm2__person-030-f-clean.jpg,cast,warm2,,green,,358,upper_body,1,1,pass,35,good,good,,f,mature,f,mature,200,
cast-warm2__person-043-m-clean.jpg,cast,warm2,,green,,410,upper_body,1,1,pass,40,good,good,,m,young,m,young,200,
cast-warm2__person-060-f-clean.jpg,cast,warm2,,green,,410,upper_body,1,1,pass,40,good,good,,f,adult,f,adult,200,
cast-warm2__person-051-m-clean.jpg,cast,warm2,,green,,410,upper_body,1,1,pass,40,good,good,,m,senior,m,mature,200,
cast-warm2__person-073-f-clean.jpg,cast,warm2,,yellow,,,face_only,1,0,,,,,,,,f,young,200,
cast-warm2__person-081-m-clean.jpg,cast,warm2,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
cast-warm3__person-001-m-clean.jpg,cast,warm3,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
cast-warm3__person-030-f-clean.jpg,cast,warm3,,green,,410,upper_body,1,1,pass,40,good,good,,f,mature,f,mature,200,
cast-warm3__person-043-m-clean.jpg,cast,warm3,,green,,410,upper_body,1,1,pass,40,good,good,,m,young,m,young,200,
cast-warm3__person-015-f-clean.jpg,cast,warm3,,green,,307,upper_body,1,1,pass,30,good,good,,f,mature,f,mature,200,
cast-warm3__person-060-f-clean.jpg,cast,warm3,,green,,512,upper_body,1,1,pass,50,good,good,,f,adult,f,adult,200,
cast-warm3__person-051-m-clean.jpg,cast,warm3,,green,,328,upper_body,1,1,pass,32,good,good,,m,mature,m,mature,200,
cast-warm3__person-073-f-clean.jpg,cast,warm3,,yellow,,,face_only,1,0,,,,,,,,f,adult,200,
cast-warm3__person-081-m-clean.jpg,cast,warm3,,green,,614,upper_body,1,1,pass,60,good,good,,m,young,m,young,200,
compressed-q05__person-001-m-clean.jpg,compressed,q05,,green,,358,head_shoulders,1,1,pass,35,good,good,,m,young,m,young,200,
compressed-q05__person-015-f-clean.jpg,compressed,q05,,yellow,,,face_only,1,0,,,,,,,,f,mature,200,
compressed-q05__person-030-f-clean.jpg,compressed,q05,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
compressed-q05__person-043-m-clean.jpg,compressed,q05,,green,,410,head_shoulders,1,1,pass,40,good,good,,m,young,m,young,200,
compressed-q05__person-051-m-clean.jpg,compressed,q05,,green,,256,upper_body,1,1,pass,25,good,good,,m,mature,m,mature,200,
compressed-q05__person-060-f-clean.jpg,compressed,q05,,green,,328,upper_body,1,1,pass,32,good,good,,f,adult,f,adult,200,
compressed-q05__person-073-f-clean.jpg,compressed,q05,,green,,307,upper_body,1,1,pass,30,good,good,,f,adult,f,young,200,
compressed-q10__person-001-m-clean.jpg,compressed,q10,,green,,307,upper_body,1,1,pass,30,good,good,,m,young,m,young,200,
compressed-q05__person-081-m-clean.jpg,compressed,q05,,green,,358,upper_body,1,1,pass,35,good,fair,,m,young,m,young,200,
compressed-q10__person-015-f-clean.jpg,compressed,q10,,green,,307,upper_body,1,1,pass,30,good,good,,f,mature,f,mature,200,
compressed-q10__person-030-f-clean.jpg,compressed,q10,,green,,328,head_shoulders,1,1,pass,32,good,good,,f,mature,f,mature,200,
compressed-q10__person-043-m-clean.jpg,compressed,q10,,green,,358,head_shoulders,1,1,pass,35,good,good,,m,young,m,young,200,
compressed-q10__person-051-m-clean.jpg,compressed,q10,,green,,307,upper_body,1,1,pass,30,good,good,,m,mature,m,mature,200,
compressed-q10__person-060-f-clean.jpg,compressed,q10,,green,,410,upper_body,1,1,pass,40,good,good,,f,adult,f,adult,200,
compressed-q10__person-081-m-clean.jpg,compressed,q10,,green,,410,upper_body,1,1,pass,40,good,good,,m,young,m,young,200,
compressed-q10__person-073-f-clean.jpg,compressed,q10,,green,,256,upper_body,1,1,pass,25,good,good,,f,young,f,young,200,
compressed-q20__person-015-f-clean.jpg,compressed,q20,,yellow,,,face_only,1,0,,,,,,,,f,mature,200,
compressed-q20__person-001-m-clean.jpg,compressed,q20,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
compressed-q20__person-030-f-clean.jpg,compressed,q20,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
compressed-q20__person-051-m-clean.jpg,compressed,q20,,green,,328,upper_body,1,1,pass,32,good,good,,m,mature,m,mature,200,
compressed-q20__person-043-m-clean.jpg,compressed,q20,,green,,358,upper_body,1,1,pass,35,good,good,,m,young,m,young,200,
compressed-q20__person-060-f-clean.jpg,compressed,q20,,green,,358,upper_body,1,1,pass,35,good,good,,f,adult,f,adult,200,
compressed-q20__person-073-f-clean.jpg,compressed,q20,,green,,328,upper_body,1,1,pass,32,good,good,,f,young,f,young,200,
compressed-q20__person-081-m-clean.jpg,compressed,q20,,green,,512,upper_body,1,1,pass,50,good,good,,m,young,m,young,200,
compressed-q40__person-001-m-clean.jpg,compressed,q40,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
compressed-q40__person-015-f-clean.jpg,compressed,q40,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
compressed-q40__person-043-m-clean.jpg,compressed,q40,,green,,461,upper_body,1,1,pass,45,good,good,,m,young,m,young,200,
compressed-q40__person-051-m-clean.jpg,compressed,q40,,green,,358,head_shoulders,1,1,pass,35,good,good,,m,mature,m,mature,200,
compressed-q40__person-060-f-clean.jpg,compressed,q40,,yellow,,,face_only,1,0,,,,,,,,f,adult,200,
compressed-q40__person-030-f-clean.jpg,compressed,q40,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
compressed-q40__person-073-f-clean.jpg,compressed,q40,,green,,328,upper_body,1,1,pass,32,good,good,,f,young,f,young,200,
compressed-q40__person-081-m-clean.jpg,compressed,q40,,green,,461,head_shoulders,1,1,pass,45,good,good,,m,young,m,young,200,
dim-18__person-001-m-clean.jpg,dim,18,,green,,256,head_shoulders,1,1,pass,25,good,fair,,m,young,m,young,200,
dim-18__person-015-f-clean.jpg,dim,18,,yellow,Brighter lighting would improve clarity.,256,upper_body,1,1,pass,25,good,fair,dim lighting,f,mature,f,mature,200,
dim-18__person-043-m-clean.jpg,dim,18,,yellow,Better lighting would improve the result.,410,head_shoulders,1,1,pass,40,good,poor,,m,young,m,young,200,
dim-18__person-030-f-clean.jpg,dim,18,,yellow,Improved lighting would enhance the image quality.,307,head_shoulders,1,1,pass,30,fair,poor,poor lighting,f,mature,f,mature,200,
dim-18__person-060-f-clean.jpg,dim,18,,yellow,,,face_only,1,0,,,,,,,,f,adult,200,
dim-18__person-051-m-clean.jpg,dim,18,,green,,338,upper_body,1,1,pass,33,good,fair,,m,mature,m,mature,200,
dim-18__person-073-f-clean.jpg,dim,18,,green,,328,upper_body,1,1,pass,32,good,fair,,f,adult,f,young,200,
dim-18__person-081-m-clean.jpg,dim,18,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
dim-32__person-001-m-clean.jpg,dim,32,,green,,307,upper_body,1,1,pass,30,good,fair,,m,young,m,young,200,
dim-32__person-015-f-clean.jpg,dim,32,,green,,410,upper_body,1,1,pass,40,good,good,,f,mature,f,mature,200,
dim-32__person-030-f-clean.jpg,dim,32,,green,,358,upper_body,1,1,pass,35,good,fair,,f,mature,f,mature,200,
dim-32__person-043-m-clean.jpg,dim,32,,green,,307,upper_body,1,1,pass,30,good,fair,,m,young,m,young,200,
dim-32__person-051-m-clean.jpg,dim,32,,green,,307,upper_body,1,1,pass,30,good,good,,m,mature,m,mature,200,
dim-32__person-060-f-clean.jpg,dim,32,,green,,328,upper_body,1,1,pass,32,good,good,,f,adult,f,adult,200,
dim-32__person-073-f-clean.jpg,dim,32,,green,,328,upper_body,1,1,pass,32,good,good,,f,young,f,young,200,
dim-32__person-081-m-clean.jpg,dim,32,,green,,512,upper_body,1,1,pass,50,good,fair,,m,young,m,young,200,
dim-50__person-001-m-clean.jpg,dim,50,,green,,410,upper_body,1,1,pass,40,good,good,,m,young,m,young,200,
dim-50__person-015-f-clean.jpg,dim,50,,yellow,,,face_only,1,0,,,,,,,,f,mature,200,
dim-50__person-043-m-clean.jpg,dim,50,,green,,461,upper_body,1,1,pass,45,good,good,,m,young,m,young,200,
dim-50__person-030-f-clean.jpg,dim,50,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
dim-50__person-051-m-clean.jpg,dim,50,,yellow,,,face_only,1,0,,,,,,,,m,mature,200,
dim-50__person-060-f-clean.jpg,dim,50,,yellow,,,face_only,1,0,,,,,,,,f,adult,200,
dim-50__person-073-f-clean.jpg,dim,50,,green,,328,upper_body,1,1,pass,32,good,good,,f,adult,f,young,200,
dim-50__person-081-m-clean.jpg,dim,50,,green,,512,upper_body,1,1,pass,50,good,fair,,m,young,m,young,200,
dim-70__person-001-m-clean.jpg,dim,70,,green,,338,upper_body,1,1,pass,33,good,good,,m,young,m,young,200,
dim-70__person-015-f-clean.jpg,dim,70,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
dim-70__person-030-f-clean.jpg,dim,70,,green,,358,upper_body,1,1,pass,35,good,fair,,f,mature,f,mature,200,
dim-70__person-051-m-clean.jpg,dim,70,,green,,307,upper_body,1,1,pass,30,good,good,,m,mature,m,mature,200,
dim-70__person-060-f-clean.jpg,dim,70,,green,,410,upper_body,1,1,pass,40,good,good,,f,adult,f,adult,200,
dim-70__person-043-m-clean.jpg,dim,70,,green,,307,upper_body,1,1,pass,30,good,good,,m,young,m,young,200,
dim-70__person-081-m-clean.jpg,dim,70,,green,,410,upper_body,1,1,pass,40,good,good,,m,young,m,young,200,
far-1x5__person-001-m-clean.jpg,far,1x5,,green,,410,upper_body,1,1,pass,40,good,good,,m,young,m,young,200,
dim-70__person-073-f-clean.jpg,dim,70,,green,,328,upper_body,1,1,pass,32,good,good,,f,adult,f,young,200,
far-1x5__person-015-f-clean.jpg,far,1x5,,green,,461,upper_body,1,1,pass,45,good,good,,f,mature,f,mature,200,
far-1x5__person-030-f-clean.jpg,far,1x5,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
far-1x5__person-043-m-clean.jpg,far,1x5,,green,,328,upper_body,1,1,pass,32,good,good,,m,young,m,young,200,
far-1x5__person-051-m-clean.jpg,far,1x5,,yellow,,,face_only,1,0,,,,,,,,m,mature,200,
far-1x5__person-060-f-clean.jpg,far,1x5,,green,,512,upper_body,1,1,pass,50,good,good,,f,adult,f,adult,200,
far-1x5__person-073-f-clean.jpg,far,1x5,,green,,328,upper_body,1,1,pass,32,good,good,,f,young,f,young,200,
far-1x5__person-081-m-clean.jpg,far,1x5,,green,,410,upper_body,1,1,pass,40,good,good,,m,young,m,young,200,
far-2x0__person-001-m-clean.jpg,far,2x0,,green,,328,upper_body,1,1,pass,32,good,good,,m,young,m,young,200,
far-2x0__person-015-f-clean.jpg,far,2x0,,yellow,,,face_only,1,0,,,,,,,,f,mature,200,
far-2x0__person-030-f-clean.jpg,far,2x0,,yellow,,,face_only,1,0,,,,,,,,f,mature,200,
far-2x0__person-043-m-clean.jpg,far,2x0,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
far-2x0__person-051-m-clean.jpg,far,2x0,,green,,328,upper_body,1,1,pass,32,good,good,,m,mature,m,mature,200,
far-2x0__person-060-f-clean.jpg,far,2x0,,green,,614,upper_body,1,1,pass,60,good,good,,f,adult,f,adult,200,
far-2x0__person-073-f-clean.jpg,far,2x0,,green,,358,upper_body,1,1,pass,35,good,good,,f,young,f,young,200,
far-2x0__person-081-m-clean.jpg,far,2x0,,green,,358,head_shoulders,1,1,pass,35,good,good,,m,young,m,young,200,
far-3x0__person-001-m-clean.jpg,far,3x0,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
far-3x0__person-015-f-clean.jpg,far,3x0,,yellow,,,face_only,1,0,,,,,,,,f,mature,200,
far-3x0__person-030-f-clean.jpg,far,3x0,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
far-3x0__person-043-m-clean.jpg,far,3x0,,green,,328,upper_body,1,1,pass,32,good,good,,m,young,m,young,200,
far-3x0__person-051-m-clean.jpg,far,3x0,,green,,358,head_shoulders,1,1,pass,35,good,good,,m,mature,m,mature,200,
far-3x0__person-060-f-clean.jpg,far,3x0,,green,,328,upper_body,1,1,pass,32,good,good,,f,adult,f,adult,200,
far-3x0__person-081-m-clean.jpg,far,3x0,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
far-3x0__person-073-f-clean.jpg,far,3x0,,green,,307,upper_body,1,1,pass,30,good,good,,f,young,f,young,200,
far-4x5__person-001-m-clean.jpg,far,4x5,,green,,328,upper_body,1,1,pass,32,good,good,,m,young,m,young,200,
far-4x5__person-015-f-clean.jpg,far,4x5,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
far-4x5__person-030-f-clean.jpg,far,4x5,,green,,256,upper_body,1,1,pass,25,good,good,,f,mature,f,mature,200,
far-4x5__person-043-m-clean.jpg,far,4x5,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
far-4x5__person-051-m-clean.jpg,far,4x5,,green,,256,upper_body,1,1,pass,25,good,good,,m,mature,m,mature,200,
far-4x5__person-073-f-clean.jpg,far,4x5,,green,,328,upper_body,1,1,pass,32,good,good,,f,young,f,young,200,
far-4x5__person-060-f-clean.jpg,far,4x5,,green,,358,head_shoulders,1,1,pass,35,good,good,,f,adult,f,adult,200,
far-4x5__person-081-m-clean.jpg,far,4x5,,green,,563,upper_body,1,1,pass,55,good,good,,m,young,m,young,200,
flat-c25__person-015-f-clean.jpg,flat,c25,,green,,307,upper_body,1,1,pass,30,good,good,,f,mature,f,mature,200,
flat-c25__person-001-m-clean.jpg,flat,c25,,green,,307,upper_body,1,1,pass,30,good,fair,,m,young,m,young,200,
flat-c25__person-030-f-clean.jpg,flat,c25,,green,,461,upper_body,1,1,pass,45,good,good,,f,mature,f,mature,200,
flat-c25__person-051-m-clean.jpg,flat,c25,,green,,358,upper_body,1,1,pass,35,good,good,,m,mature,m,mature,200,
flat-c25__person-060-f-clean.jpg,flat,c25,,green,,328,upper_body,1,1,pass,32,good,good,,f,adult,f,adult,200,
flat-c25__person-043-m-clean.jpg,flat,c25,,green,,358,upper_body,1,1,pass,35,good,fair,,m,young,m,young,200,
flat-c25__person-073-f-clean.jpg,flat,c25,,green,,328,upper_body,1,1,pass,32,good,good,,f,young,f,young,200,
flat-c25__person-081-m-clean.jpg,flat,c25,,green,,461,head_shoulders,1,1,pass,45,good,fair,,m,young,m,young,200,
flat-c40__person-001-m-clean.jpg,flat,c40,,green,,358,head_shoulders,1,1,pass,35,good,good,,m,young,m,young,200,
flat-c40__person-043-m-clean.jpg,flat,c40,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
flat-c40__person-030-f-clean.jpg,flat,c40,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
flat-c40__person-015-f-clean.jpg,flat,c40,,green,,461,upper_body,1,1,pass,45,good,good,,f,mature,f,mature,200,
flat-c40__person-051-m-clean.jpg,flat,c40,,green,,328,head_shoulders,1,1,pass,32,good,good,,m,mature,m,mature,200,
flat-c40__person-060-f-clean.jpg,flat,c40,,green,,328,upper_body,1,1,pass,32,good,good,,f,adult,f,adult,200,
flat-c40__person-073-f-clean.jpg,flat,c40,,green,,328,upper_body,1,1,pass,32,good,good,,f,adult,f,young,200,
flat-c60__person-001-m-clean.jpg,flat,c60,,yellow,,,face_only,1,0,,,,,,,,m,young,200,
flat-c40__person-081-m-clean.jpg,flat,c40,,green,,358,upper_body,1,1,pass,35,good,good,,m,young,m,young,200,
flat-c60__person-015-f-clean.jpg,flat,c60,,green,,328,upper_body,1,1,pass,32,good,good,,f,mature,f,mature,200,
flat-c60__person-030-f-clean.jpg,flat,c60,,green,,307,upper_body,1,1,pass,30,good,fair,,f,mature,f,mature,200,
flat-c60__person-060-f-clean.jpg,flat,c60,,yellow,,,face_only,1,0,,,,,,,,f,adult,200,
flat-c60__person-051-m-clean.jpg,flat,c60,,green,,256,upper_body,1,1,pass,25,good,good,,m,mature,m,mature,200,
flat-c60__person-043-m-clean.jpg,flat,c60,,green,,440,head_shoulders,1,1,pass,43,good,good,,m,young,m,young,200,
flat-c60__person-073-f-clean.jpg,flat,c60,,green,,328,upper_body,1,1,pass,32,good,good,,f,young,f,young,200,
